hidden_layer_sizes;activation;solver;learning_rate;iteration;MAPE;R�
"(50, 50)";relu;adam;adaptive;1;0,027578510906754315;0,9806912812831194
"(50, 50)";relu;adam;adaptive;2;0,027578510906754315;0,9806912812831194
"(50, 50)";relu;adam;adaptive;3;0,027578510906754315;0,9806912812831194
"(50, 50)";relu;sgd;constant;1;0,09152020177286671;0,7901238957231979
"(50, 50)";relu;sgd;constant;2;0,09152020177286671;0,7901238957231979
"(50, 50)";relu;sgd;constant;3;0,09152020177286671;0,7901238957231979
"(50, 50)";relu;sgd;invscaling;1;0,5979740775282651;-4,237622113588292
"(50, 50)";relu;sgd;invscaling;2;0,5979740775282651;-4,237622113588292
"(50, 50)";relu;sgd;invscaling;3;0,5979740775282651;-4,237622113588292
"(50, 50)";relu;sgd;adaptive;1;0,08967118782504466;0,7989731754282979
"(50, 50)";relu;sgd;adaptive;2;0,08967118782504466;0,7989731754282979
"(50, 50)";relu;sgd;adaptive;3;0,08967118782504466;0,7989731754282979
"(50, 50)";relu;lbfgs;constant;1;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;constant;2;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;constant;3;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;invscaling;1;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;invscaling;2;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;invscaling;3;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;adaptive;1;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;adaptive;2;0,0051196555716647805;0,9994490682350624
"(50, 50)";relu;lbfgs;adaptive;3;0,0051196555716647805;0,9994490682350624
"(50, 50)";tanh;adam;constant;1;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;adam;constant;2;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;adam;constant;3;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;adam;invscaling;1;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;adam;invscaling;2;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;adam;invscaling;3;0,17817337148107257;0,23624049959583093
"(50, 50)";tanh;adam;adaptive;1;0,17817337148107257;0,23624049959583093
