hidden_dim,num_layers,learning_rate,timesteps,epochs,batch_size,iteration,MAPE,R²
10,1,0.01,5,100,16,3,0.21713123684883642,-0.4796239039338548
10,1,0.01,5,150,4,1,0.2771775001706612,-1.2568461196026082
10,1,0.01,5,150,4,2,0.3273338614906537,-1.765078183171262
10,1,0.01,5,150,4,3,0.28876889397315003,-1.3966251855830576
10,1,0.01,5,150,8,1,0.26755016590682623,-1.128108506069728
10,1,0.01,5,150,8,2,0.28244334839515683,-1.2923601326938874
10,1,0.01,5,150,8,3,0.2572930732407571,-0.9856402126391266
10,1,0.01,5,150,16,1,0.24192231568121286,-0.7619484944936352
10,1,0.01,5,150,16,2,0.21855826937677428,-0.5264112066258069
10,1,0.01,5,150,16,3,0.23424939663265312,-0.6937674887853447
10,1,0.01,10,50,4,1,0.2788889886862896,-1.1466182321749216
10,1,0.01,10,50,4,2,0.27911162410279416,-1.2982928971368057
10,1,0.01,10,50,4,3,0.30011119897956223,-1.439351347717321
10,1,0.01,10,50,8,1,0.23539166178542725,-0.6968855561826452
10,1,0.01,10,50,8,2,0.232493964895931,-0.6367269677785472
10,1,0.01,10,50,8,3,0.21443349129591244,-0.45833249654005215
10,1,0.01,10,50,16,1,0.18496297830762978,-0.08055133885063004
10,1,0.01,10,50,16,2,0.2034826711039082,-0.2182296762985454
10,1,0.01,10,50,16,3,0.1783345925924822,-0.03495010398289011
10,1,0.01,10,100,4,1,0.3041043301779023,-1.4663057774131567
10,1,0.01,10,100,4,2,0.26778568581953516,-1.1337809643134231
10,1,0.01,10,100,4,3,0.269227287007559,-1.1435656973383193
10,1,0.01,10,100,8,1,0.26681655665601883,-1.0997905002978543
10,1,0.01,10,100,8,2,0.27616096279636404,-1.2223025943991872
10,1,0.01,10,100,8,3,0.2589979459055225,-1.0119358797717166
10,1,0.01,10,100,16,1,0.23673848825528596,-0.673130235107174
10,1,0.01,10,100,16,2,0.2442622765154504,-0.7670644886376439
10,1,0.01,10,100,16,3,0.2443455453983382,-0.8140181332366838
10,1,0.01,10,150,4,1,0.13906175762752715,0.4450046808720779
